02.16 14.53.38  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:73 - getTables[]: resultList: []
02.16 14.53.38  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:84 - getColumns[]: resultList: []
02.16 14.53.38  INFO	ru.sfedu.crm.Main:17 - Main[1]: End
02.16 14.54.18  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.16 14.54.19  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:50 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.16 14.54.19  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:61 - getUsers[]: resultList: [USER]
02.16 14.54.19  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:73 - getTables[]: resultList: [REQUEST, WORKER, USER, REQUESTCATEGORY, CLIENT, FEEDBACK]
02.16 14.54.19  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:84 - getColumns[]: resultList: [ID, CLIENTID, DATE, CATEGORY, STATUS, DESCRIPTION, DISMISSINGREASON, ID, NAME, BIRTHDATE, PHONENUMBER, POSITION, EMPLOYMENTDATE, LEAVEDATE, ID, NAME, BIRTHDATE, PHONENUMBER, ID, CATEGORYNAME, ID, NAME, BIRTHDATE, PHONENUMBER, INN, STATUS, ID, REQUEST, RATE, MESSAGE]
02.16 14.54.19  INFO	ru.sfedu.crm.Main:17 - Main[1]: End
02.16 15.27.11  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.16 15.27.12  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:50 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.16 15.27.12  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:61 - getUsers[]: resultList: [USER]
02.16 15.27.12  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:73 - getTables[]: resultList: []
02.16 15.27.12  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:84 - getColumns[]: resultList: []
02.16 15.27.12  INFO	ru.sfedu.crm.Main:15 - Main[1]: End
02.16 15.35.18  INFO	ru.sfedu.crm.Main:13 - Main[0]: Start
02.16 15.35.19  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:50 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.16 15.35.19  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:61 - getUsers[]: resultList: [USER]
02.16 15.35.19  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:73 - getTables[]: resultList: []
02.16 15.35.19  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:84 - getColumns[]: resultList: []
02.16 15.39.58  INFO	ru.sfedu.crm.Main:13 - Main[0]: Start
02.16 15.39.59  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:50 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.16 15.39.59  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:61 - getUsers[]: resultList: [USER]
02.16 15.39.59  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:73 - getTables[]: resultList: []
02.16 15.39.59  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:84 - getColumns[]: resultList: []
02.16 15.39.59 ERROR	ru.sfedu.crm.lab2.api.TestEntityProvider:30 - save[0]: saving error!
